YEAR,MONTH,MONTH.END,Russia,St._Petersburg,Leningrad_reg.,Karelia,Vologda,Novgorod,Pskov
2016,апрель,2016-04-30,150761,4950,1915,727,1349,856,845
2016,май,2016-05-31,160437,4953,2095,800,1479,903,982
2016,июнь,2016-06-30,156514,4644,2021,730,1504,861,1008
2016,июль,2016-07-31,146874,4524,2005,731,1417,854,892
2016,август,2016-08-31,159864,4950.99,2201,834,1583,902,992
2016,сентябрь,2016-09-30,149829,4926,1990,799,1432,900,870
2016,октябрь,2016-10-31,150667,5076,1971,742,1434,838,872
2016,ноябрь,2016-11-30,156836,5260,2051,786,1439,871,974
2016,декабрь,2016-12-31,163274,5419,2066,750,1451,922,972
2017,январь,2017-01-31,179410,6033,2309,919,1694,1022,1111
2017,февраль,2017-02-28,146802,4776,1983,739,1353,811,939
2017,март,2017-03-31,161610,5302,2128,796,1445,917,1042
2017,апрель,2017-04-30,142226,4729,1860,674,1300,801,875
2017,май,2017-05-31,161000,5135,2174,781,1532,904,999
2017,июнь,2017-06-30,149314,4895,2008,767,1479,897,927
2017,июль,2017-07-31,143413,4705,1900,701,1381,836,797
2017,август,2017-08-31,152367,4929.99,1901,771,1391,829,917
2017,сентябрь,2017-09-30,141652,5078.99,1954,734,1346,860,858
2017,октябрь,2017-10-31,155161,5180,2056,775,1400,870,972
2017,ноябрь,2017-11-30,145248,4893,1834,723,1308,859,891
2017,декабрь,2017-12-31,146137,4934,1851,721,1356,829,817
2018,январь,2018-01-31,165836,5431,2194,799,1525,891,1030
2018,февраль,2018-02-28,142931,4831,1894,710,1346,784,833
2018,март,2018-03-31,169408,6205,2253,879,1544,945,1095
2018,апрель,2018-04-30,157368,5342,2069,786,1507,934,1007
2018,май,2018-05-31,162805,5082,2098,795,1533,906,925
2018,июнь,2018-06-30,148590,4800,1805,739,1367,788,855
2018,июль,2018-07-31,152478,5080,2034,805,1348,809,901
2018,август,2018-08-31,147822,5007,1968,733,1391,794,836
2018,сентябрь,2018-09-30,136140,4622,1772,661,1260,731,772
2018,октябрь,2018-10-31,153705,4429,1922,809,1416,891,907
2018,ноябрь,2018-11-30,143519,4245.99,1800,758,1289,801,861
2018,декабрь,2018-12-31,147225,4601,1737,668,1292,827,829
2019,январь,2019-01-31,172451,5544,2235,920,1551,906,964
2019,февраль,2019-02-28,148496,5048,1867,690,1406,751,756
2019,март,2019-03-31,151913,5105,1812,690,1354,800,883
2019,апрель,2019-04-30,153867,5174,1954,778,1394,880,1125
2019,май,2019-05-31,154539,4859,2022,716,1390,820,868
2019,июнь,2019-06-30,137237,4543,1680,644,1228,731,869
2019,июль,2019-07-31,151554,4766,2050,809,1407,842,900
2019,август,2019-08-31,143394,4831,1949,718,1369,804,777
2019,сентябрь,2019-09-30,139051,4625,1958,709,1280,849,822
2019,октябрь,2019-10-31,157679,5158,2054,748,1389,813,918
2019,ноябрь,2019-11-30,141331,4665,1812,652,1245,798,837
2019,декабрь,2019-12-31,149165,4874,1997,729,1409,822,860
2020,январь,2020-01-31,164075,5401,2191,839,1421,924,981
2020,февраль,2020-02-29,143179,5012,1825,699,1271,748,825
2020,март,2020-03-31,152740,5163,2065,838,1380,842,906
2020,апрель,2020-04-30,150873,5300,2070,698,1362,797,898
2020,май,2020-05-31,172914,6800,2618,738,1275,833,886
2020,июнь,2020-06-30,162758,6657,2508,725,1483,959,1005
2020,июль,2020-07-31,181479,5398,2331,770,1393,829,942
2020,август,2020-08-31,157181,5282,2077,753,1410,803,883
2020,сентябрь,2020-09-30,170717,5643,2258,820,1437,848,940
2020,октябрь,2020-10-31,205456,6342,2350,834,1491,893,962
2020,ноябрь,2020-11-30,219872,7019,2447,1032,1817,1010,1045
2020,декабрь,2020-12-31,243235,8271,3218,1330,2166,1305,1503
2021,январь,2021-01-31,219769,8323,3191,1225,2004,1281,1337
2021,февраль,2021-02-28,172672,6218,2456,1040,1546,950,1023
2021,март,2021-03-31,191320,6589,2589,1023,1609,1070,1065
2021,апрель,2021-04-30,168345,5897,2309,781,1433,885,1014
2021,май,2021-05-31,162283,5785,2170,815,1368,912,949
2021,июнь,2021-06-30,185655,7807,2892,954,1620,1059,1032
2021,июль,2021-07-31,215265,9051,3190,1080,1923,1133,1070
